date;open;high;low;close;volume
2013.07.30;132.622;133.009;132.346;132.626;42652
2013.07.31;132.625;133.446;132.140;132.963;55008
2013.08.01;133.022;133.108;131.943;132.096;48557
2013.08.02;132.097;132.937;131.877;132.798;46485
2013.08.05;132.813;133.003;132.327;132.611;40112
2013.08.06;132.612;133.229;132.460;133.073;41828
2013.08.07;133.080;133.452;132.655;133.365;48724
2013.08.08;133.365;134.002;133.282;133.814;44968
2013.08.09;133.809;133.903;133.326;133.387;35344
2013.08.12;133.366;133.439;132.772;132.990;36997
2013.08.13;132.991;133.171;132.335;132.601;46684
2013.08.14;132.605;132.795;132.388;132.577;41683
2013.08.15;132.575;133.623;132.058;133.504;44459
2013.08.16;133.503;133.798;133.109;133.279;41037
2013.08.19;133.354;133.744;133.152;133.357;40700
2013.08.20;133.357;134.518;133.233;134.176;48602
2013.08.21;134.178;134.267;133.355;133.579;49026
2013.08.22;133.577;133.730;132.980;133.559;46181
2013.08.23;133.557;134.097;133.334;133.788;40212
2013.08.26;133.819;133.942;133.566;133.702;27937
2013.08.27;133.701;133.986;133.232;133.905;42804
2013.08.28;133.906;133.976;133.050;133.404;43352
2013.08.29;133.404;133.431;132.195;132.374;45328
2013.08.30;132.389;132.546;131.750;132.195;40635
2013.09.02;132.122;132.270;131.837;131.957;30761
2013.09.03;131.954;131.969;131.386;131.661;36876
2013.09.04;131.667;132.178;131.571;132.028;34779
2013.09.05;132.043;132.226;131.104;131.177;37308
2013.09.06;131.180;131.890;131.047;131.766;32677
2013.09.09;131.735;132.806;131.651;132.531;32240
2013.09.10;132.534;132.757;132.300;132.655;34424
2013.09.11;132.654;133.244;132.438;133.108;34891
2013.09.12;133.110;133.241;132.577;132.998;34490
2013.09.13;133.001;133.211;132.543;132.932;32643
2013.09.16;133.627;133.854;133.300;133.349;33097
2013.09.17;133.350;133.693;133.251;133.578;29536
2013.09.18;133.578;135.415;133.380;135.082;37727
2013.09.19;135.083;135.685;135.009;135.291;44450
2013.09.20;135.286;135.486;134.980;135.217;33752
2013.09.23;135.318;135.444;134.792;134.927;33629
2013.09.24;134.930;135.186;134.643;134.702;33948
2013.09.25;134.709;135.372;134.622;135.219;31336
2013.09.26;135.222;135.260;134.722;134.865;30502
2013.09.27;134.870;135.642;134.741;135.216;30493
2013.09.30;134.819;135.556;134.775;135.215;33824
2013.10.01;135.215;135.876;135.168;135.241;37764
2013.10.02;135.241;136.068;135.060;135.811;37266
2013.10.03;135.812;136.455;135.774;136.215;38034
2013.10.04;136.219;136.315;135.384;135.565;34243
2013.10.07;135.629;135.909;135.425;135.766;31485
2013.10.08;135.767;136.070;135.573;135.727;31661
2013.10.09;135.729;136.044;134.857;135.232;39161
2013.10.10;135.232;135.463;134.877;135.253;33791
2013.10.11;135.254;135.813;135.193;135.372;31185
2013.10.14;135.569;135.974;135.453;135.591;25966
2013.10.15;135.592;135.708;134.794;135.256;37245
2013.10.16;135.254;135.673;134.734;135.334;38403
2013.10.17;135.335;136.816;135.154;136.723;41666
2013.10.18;136.723;137.036;136.594;136.853;32382
2013.10.21;136.829;136.884;136.509;136.768;25811
2013.10.22;136.769;137.916;136.622;137.781;29785
2013.10.23;137.780;137.927;137.414;137.750;34224
2013.10.24;137.751;138.249;137.647;137.989;34862
